,NETWORTH,INCOME,FIN,NFIN,DEBT,EQUITY,STOCKS,HHOUSES,BUS,RETQLIQ,YESFINRISK,SPENDMOR,LATE,EMERGSAV,LIQ,FINLIT,AGE,EDUC,MARRIED,KIDS,OCCAT1,RET_ASSETS
19095,607500.0,115657.56513,48000,1054200.0,494700,15000.0,15000,1,300000,25000,0,4,0,0,8000,3,39,10,1,1,2,73000
19100,85500.0,75663.827655,30500,66000.0,11000,1250.0,500,0,0,6500,1,3,1,0,23500,2,30,9,2,0,1,37000
19105,-3710.0,28103.707415,240,0.0,3950,0.0,0,0,0,0,0,3,0,0,240,1,47,8,2,2,4,240
19110,26200.0,70259.268537,28000,0.0,1800,0.0,0,0,0,25000,0,4,0,1,3000,1,57,9,2,0,4,53000
19115,-26690.0,114576.65331,8400,15000.0,50090,0.0,0,0,0,0,1,3,0,0,7200,1,39,12,1,0,1,8400
19120,11851500.0,499381.26253,1458000,11032000.0,638500,575000.0,0,1,8950000,1425000,0,5,0,1,30000,3,61,14,1,1,2,2883000
19125,26541000.0,2161823.6473,12825000,14106000.0,390000,10050000.0,0,1,5000000,50000,0,4,0,1,1645000,3,68,12,1,0,2,12875000
19130,415700.0,21618.236473,153200,264000.0,1500,22500.0,0,1,0,150000,0,5,0,0,3200,2,22,12,2,0,2,303200
19135,44115000.0,6798935.3707,38342500,6633500.0,861000,28452737.684,5700000,1,446000,7943000,0,3,0,1,3800500,3,52,14,1,2,2,46285500
19140,926000.0,81068.386774,707000,219000.0,0,80000.0,0,1,0,100000,0,3,0,1,87000,2,64,13,2,0,1,807000
19145,265300.0,46479.208417,85300,180000.0,0,15500.0,0,1,0,62000,0,4,0,0,3300,2,89,6,1,0,3,147300
19150,49700.0,41074.649299,36700,13000.0,0,34000.0,0,0,0,34000,0,5,0,1,2700,3,46,10,2,0,1,70700
19155,349640.0,150246.74349,49200,350000.0,49560,28000.0,10000,0,300000,18000,0,3,0,1,21200,2,30,11,1,0,2,67200
19160,2321920.0,332920.84168,2043920,278000.0,0,144000.0,0,1,0,1580000,0,3,0,1,400920,3,67,10,1,0,3,3623920
19165,13410.0,48641.032064,7300,447100.0,440990,0.0,0,1,0,0,0,4,0,0,7300,1,40,9,1,2,1,7300
19170,103334200.0,4069416.8337,72192800,44941400.0,13800000,72053000.0,70980000,1,32650000,920000,0,3,0,1,292800,3,53,13,1,4,2,73112800
19175,291100.0,68097.44489,49000,471000.0,228900,0.0,0,1,0,0,0,5,0,0,49000,3,38,9,1,1,2,49000
19180,59205.0,25941.883768,5865,54100.0,760,0.0,0,1,0,0,0,5,0,1,865,1,75,8,2,0,1,5865
19185,13470.0,74582.915832,700,32000.0,19230,0.0,0,0,0,0,0,5,0,0,700,2,26,8,1,0,1,700
19190,13714400.0,714482.71543,2322000,11392400.0,0,0.0,0,1,7580000,0,0,5,0,1,2157000,3,57,13,1,0,2,2322000
19195,300510.0,196725.9519,178850,504000.0,382340,127850.0,0,1,0,137200,0,5,0,1,8300,3,39,12,1,2,1,316050
19200,426458000.0,4195018.7876,17889000,408569000.0,0,3706000.0,1840000,1,329120000,6239000,0,4,0,1,420000,3,78,14,1,0,2,24128000
19205,541000.0,118900.3006,259000,732000.0,450000,162000.0,95000,1,0,67000,0,2,0,0,97000,2,37,13,2,0,1,326000
19210,389500.0,100524.7996,14800,540700.0,166000,300.0,300,1,0,0,0,5,0,0,14500,3,31,12,1,0,1,14800
19215,-31940.0,20537.324649,60,0.0,32000,0.0,0,0,0,0,0,1,0,0,60,1,30,12,2,0,2,60
19220,16000.0,38912.825651,2100,15500.0,1600,0.0,0,0,0,0,0,4,0,0,2100,3,80,8,2,0,3,2100
19225,184530.0,70259.268537,1230,235000.0,51700,0.0,0,1,0,0,0,2,1,0,1230,3,74,14,1,0,3,1230
19230,9210.0,25941.883768,1300,8100.0,190,0.0,0,0,0,0,0,2,0,1,1300,2,72,-1,2,1,3,1300
19235,1304030.0,487491.23246,1005030,676000.0,377000,676900.0,139000,1,0,558100,0,4,0,1,307200,3,41,9,1,2,1,1563130
19240,306700.0,35670.09018,117700,292000.0,103000,100000.0,90000,1,0,0,0,2,0,1,2700,2,54,8,2,0,1,117700
19245,449450.0,178350.4509,59600,816000.0,426150,0.0,0,1,0,0,0,5,1,1,54600,2,52,11,1,3,1,59600
